"VIA FIUMEDENISI, 31","VIA FIUMEDENISI, 31",ROMA RM,00133
VIA FOLERAU RAUL,VIA FOLERAU RAUL,ROMA RM,00100
"VIA FONTEVECCHIO, 27","VIA FONTEVECCHIO, 27",ROMA RM,00132
VIA FORCELLA N. 11,VIA FORCELLA 11,PESCOSOLIDO FR,03030
"VIA FOSSO DELL'OSA, 571/B","VIA FOSSO DELL'OSA, 571/B",BRINDISI BR,72100
VIA FOSSO DI SANTAMAURA 199,VIA FOSSO DI SANTAMAURA 199,ROMA RM,00133
VIA FRANCA VILLA DI SICILIA 19,VIA FRANCA VILLA DI SICILIA 19,ROMA RM,00133
VIA FRANCESCO CALTAGIRONE 11,VIA FRANCESCO CALTAGIRONE 11,ROMA RM,00132
VIA FRANCESCO PETRARCA 85,VIA FRANCESCO PETRARCA 85,ZAGAROLO RM,00039
"VIA FRANCESCO TROYA, 23","VIA FRANCESCO TROYA, 23",ROMA RM,00135
VIA FRATELLI MAZZOCHHI N°77,VIA FRATELLI MAZZOCHHI N°77,ROMA RM,00133
VIA G DI VITTORIO 2/A,VIA G DI VITTORIO 2/A,ZAGAROLO RM,00039
"VIA G. CARPONI,1","VIA CARPONI, 1",ROMA RM,00133
"VIA G. CASTEL FERRATO, 26","VIA CASTEL FERRATO, 26",ROMA RM,00132
"VIA G. GALOPPINI, 3","VIA GALOPPINI, 3",ROMA RM,00133
"VIA G. GAZZONI, 28","VIA GAZZONI, 28",ROMA RM,00133
VIA G. POLITI DE BIANCHI,VIA POLITI DE BIANCHI,ROMA RM,00166
"VIA G. VERDI,24 - VALLE MARTELL","VIA VERDI, 24 - VALLE MARTELL",ZAGAROLO RM,00039
VIA G.B. BASTIANELLI 33,VIA B. BASTIANELLI 33,ROMA RM,00133
VIA G.B. BASTIANELLI 44,VIA B. BASTIANELLI 44,ROMA RM,00133
VIA G.B. BASTIANELLI 47,VIA B. BASTIANELLI 47,ROMA RM,00133
VIA G.B. BASTIANELLI 74,VIA B. BASTIANELLI 74,ROMA RM,00133
VIA G.B. BASTIANELLI 9/B,VIA B. BASTIANELLI 9/B,ROMA RM,00133
VIA G.B. BASTIANELLI N. 35,VIA B. BASTIANELLI 35,ROMA RM,00133
VIA G.B. BASTIANELLI N. 72,VIA B. BASTIANELLI 72,ROMA RM,00133
"VIA G.B. BASTIANELLI, 62","VIA B. BASTIANELLI, 62",ROMA RM,00133
"VIA G.B. BASTIANELLI, 75","VIA B. BASTIANELLI, 75",ROMA RM,00133
"VIA G.B. BASTIANELLI,24","VIA B. BASTIANELLI, 24",ROMA RM,00133
"VIA G.B. MILIANI ,29","VIA B. MILIANI , 29",ROMA RM,00133
VIA G.B. MILIANI 18,VIA B. MILIANI 18,ROMA RM,00133
VIA G.B. MILIANI 5,VIA B. MILIANI 5,ROMA RM,00133
VIA G.B. PITONI N. 51,VIA B. PITONI 51,ROMA RM,00133
"VIA G.B. PITONI, 51","VIA B. PITONI, 51",ROMA RM,00133
"VIA G.B. PITONI, 53","VIA B. PITONI, 53",ROMA RM,00133
"VIA G.B. SCORZA,17","VIA B. SCORZA, 17",ROMA RM,00133
VIA G.B. SCOZZA 19,VIA B. SCOZZA 19,ROMA RM,00133
VIA G.B. SCOZZA N. 17,VIA B. SCOZZA 17,ROMA RM,00133
VIA G.B. SCOZZA N. 19,VIA B. SCOZZA 19,ROMA RM,00133
"VIA G.B. SCOZZA, 15","VIA B. SCOZZA, 15",ROMA RM,00133
"VIA G.B. SCOZZA, 15/A","VIA B. SCOZZA, 15/A",ROMA RM,00133
VIA G.B.BASTIANELLI 21,VIA B.BASTIANELLI 21,ROMA RM,00133
"VIA G.B.BASTIANELLI, 109","VIA B.BASTIANELLI, 109",ROMA RM,00133
"VIA G.B.BASTIANELLI, 113","VIA B.BASTIANELLI, 113",ROMA RM,00133
"VIA G.B.BASTIANELLI, 39","VIA B.BASTIANELLI, 39",ROMA RM,00133
"VIA G.B.BASTIANELLI, 66","VIA B.BASTIANELLI, 66",ROMA RM,00133
"VIA G.B.BASTIANELLI, 69","VIA B.BASTIANELLI, 69",ROMA RM,00133
"VIA G.B.BASTIANELLI, 75","VIA B.BASTIANELLI, 75",ROMA RM,00133
"VIA G.B.BASTIANELLI,101","VIA B.BASTIANELLI, 101",ROMA RM,00133
"VIA G.B.BASTIANELLI,111","VIA B.BASTIANELLI, 111",ROMA RM,00133
